CITY CODE,STATE,METRO/MICRO,URBAN AREA AND STATE,COMPOSITE INDEX,GROCERY ITEMS,HOUSING,UTILITIES,TRANSPORTATION,HEALTH CARE,MISC GOODS AND SERVICES
01-11500-100,Alabama,Anniston-Oxford-Jacksonville AL Metro,Anniston-Calhoun County AL,87.3,96.1,72.7,98.1,88.6,79.9,93.2
01-12220-125,Alabama,Auburn-Opelika AL Metro,Auburn-Opelika AL,95.5,103.3,79.3,93.0,91.3,87.9,109.8
01-13820-200,Alabama,Birmingham-Hoover AL Metro,Birmingham AL,91.8,101.7,80.3,96.1,91.5,84.3,97.2
01-19460-235,Alabama,Decatur AL Metro,Decatur-Hartselle AL,87.9,96.7,68.0,109.0,90.1,88.8,93.7
01-20020-250,Alabama,Dothan AL Metro,Dothan AL,86.3,99.6,75.4,88.9,90.0,83.7,88.0
01-22520-300,Alabama,Florence-Muscle Shoals AL Metro,Florence AL,91.0,95.4,78.3,101.2,92.3,85.0,97.2
01-26620-500,Alabama,Huntsville AL Metro,Huntsville AL,92.0,96.8,74.4,101.4,96.6,95.4,100.1
01-33660-600,Alabama,Mobile AL Metro,Mobile AL,92.1,102.7,76.6,107.0,95.5,87.7,95.6
01-33860-700,Alabama,Montgomery AL Metro,Montgomery AL,93.9,99.4,87.7,105.8,91.2,80.5,95.9
02-11260-100,Alaska,Anchorage AK Metro,Anchorage AK,132.4,123.2,164.9,103.8,116.1,140.9,122.0
02-21820-300,Alaska,Fairbanks AK Metro,Fairbanks AK,135.4,120.8,122.0,235.2,126.1,150.1,122.8
02-27940-400,Alaska,Juneau AK Micro,Juneau AK,131.5,128.8,153.4,136.1,125.5,150.3,111.4
02-88888-550,Alaska,NonMetro US,Kodiak AK,136.8,137.0,155.4,146.3,140.0,138.3,115.9
04-22380-300,Arizona,Flagstaff AZ Metro,Flagstaff AZ,117.1,109.8,142.0,111.6,100.6,110.9,107.5
04-29420-150,Arizona,Lake Havasu City-Kingman AZ Metro,Bullhead City AZ,92.9,95.2,85.8,76.9,103.2,99.4,98.6
04-29420-400,Arizona,Lake Havasu City-Kingman AZ Metro,Lake Havasu City AZ,102.0,98.3,108.0,103.3,105.4,106.4,96.1
04-38060-600,Arizona,Phoenix-Mesa-Scottsdale AZ Metro,Phoenix AZ,95.7,97.7,95.4,95.3,100.3,97.7,93.3
04-39140-650,Arizona,Prescott AZ Metro,Prescott-Prescott Valley AZ,96.9,94.6,104.0,93.1,99.0,95.8,92.2
04-43420-725,Arizona,Sierra Vista-Douglas AZ Metro,Sierra Vista AZ,95.7,93.8,93.9,103.9,99.9,94.6,94.1
04-46060-850,Arizona,Tucson AZ Metro,Tucson AZ,93.9,96.8,84.1,91.9,97.0,105.5,99.2
04-49740-900,Arizona,Yuma AZ Metro,Yuma AZ,100.5,105.8,88.6,119.9,97.1,95.4,104.5
05-22220-300,Arkansas,Fayetteville-Springdale-Rogers AR-MO Metro,Fayetteville AR,89.3,93.4,77.7,103.6,93.7,91.4,91.2
05-26300-500,Arkansas,Hot Springs AR Metro,Hot Springs AR,92.1,97.2,77.2,102.2,90.1,90.8,100.7
05-27860-600,Arkansas,Jonesboro AR Metro,Jonesboro AR,87.4,92.5,77.4,92.8,88.0,86.0,92.3
05-30780-125,Arkansas,Little Rock-North Little Rock-Conway AR Metro,Conway AR,96.0,98.2,81.7,88.0,95.6,90.9,111.0
05-30780-700,Arkansas,Little Rock-North Little Rock-Conway AR Metro,Little Rock-North Little Rock AR,96.4,93.8,92.4,113.7,94.3,85.0,97.9
06-11244-620,California,Anaheim-Santa Ana-Irvine CA Metro Div.,Orange County CA,149.1,107.2,246.6,117.7,131.2,107.0,104.7
06-12540-100,California,Bakersfield CA Metro,Bakersfield CA,107.0,105.9,103.2,122.1,119.9,104.3,101.4
06-23420-250,California,Fresno CA Metro,Fresno CA,107.1,104.4,100.7,132.1,108.0,100.7,106.3
06-31084-500,California,Los Angeles-Long Beach-Glendale CA Metro Div.,Los Angeles-Long Beach CA,139.1,106.1,212.0,114.0,127.5,109.9,106.1
06-33700-540,California,Modesto CA Metro,Modesto CA,109.2,101.6,118.2,112.2,117.0,106.9,101.1
06-36084-600,California,Oakland-Hayward-Berkeley CA Metro Div.,Oakland CA,145.9,128.2,226.8,105.1,118.4,115.2,110.5
06-40900-720,California,Sacramento-Roseville-Arden-Arcade CA Metro,Sacramento CA,115.0,116.2,138.1,77.0,118.6,98.8,107.2
06-41740-760,California,San Diego-Carlsbad CA Metro,San Diego CA,143.5,108.0,227.1,122.0,125.7,111.2,103.7
06-41884-800,California,San Francisco-Redwood City-South San Francisco CA Metro Div.,San Francisco CA,174.7,126.1,319.7,106.2,124.5,118.6,117.7
06-44700-900,California,Stockton-Lodi CA Metro,Stockton CA,111.2,117.6,115.9,113.7,119.8,100.5,101.6
06-44700-930,California,Stockton-Lodi CA Metro,Tracy CA,124.6,115.3,165.2,112.1,114.0,102.8,104.2
06-46020-940,California,Truckee-Grass Valley CA Micro,Truckee-Nevada County CA,156.5,132.8,235.3,134.2,142.6,120.6,115.0
08-17820-200,Colorado,Colorado Springs CO Metro,Colorado Springs CO,96.0,92.9,100.1,86.6,96.1,102.3,95.8
08-19740-300,Colorado,Denver-Aurora-Lakewood CO Metro,Denver CO,109.3,98.0,129.8,95.2,100.1,107.2,104.6
08-24300-500,Colorado,Grand Junction CO Metro,Grand Junction CO,97.4,94.9,101.2,86.4,96.3,105.4,98.0
08-39380-800,Colorado,Pueblo CO Metro,Pueblo CO,85.7,95.5,70.9,84.0,93.5,95.2,90.7
08-88888-470,Colorado,NonMetro US,Glenwood Springs CO,118.1,101.2,151.2,84.8,107.7,115.3,111.7
08-88888-700,Colorado,NonMetro US,Gunnison CO,105.9,99.4,122.6,89.7,100.3,99.0,102.3
09-14860-800,Connecticut,Bridgeport-Stamford-Norwalk CT Metro,Stamford CT,147.1,128.1,210.9,130.4,108.5,114.8,123.9
09-25540-400,Connecticut,Hartford-West Hartford-East Hartford CT Metro,Hartford CT,125.0,128.9,134.4,128.4,112.0,118.4,119.9
09-35300-620,Connecticut,New Haven-Milford CT Metro,New Haven CT,124.6,130.4,144.5,100.8,106.9,114.1,120.6
10-20100-500,Delaware,Dover DE Metro,Dover DE,99.8,108.1,83.9,114.2,101.2,101.4,104.6
10-48864-800,Delaware,Wilmington DE-MD-NJ Metro Div.,Wilmington DE,106.2,105.4,109.1,110.0,99.2,101.7,106.2
11-47894-750,District of Columbia,Washington-Arlington-Alexandria DC-VA-MD-WV Metro Div.,Washington-Arlington-Alexandria DC-VA,145.9,110.0,248.7,96.5,111.7,94.3,107.4
12-15980-190,Florida,Cape Coral-Fort Myers FL Metro,Cape Coral-Fort Myers FL,101.2,111.0,86.8,93.3,109.7,100.4,108.9
12-19660-210,Florida,Deltona-Daytona Beach-Ormond Beach FL Metro,Daytona Beach FL,95.0,103.1,82.3,100.4,96.5,96.0,100.3
12-19660-625,Florida,Deltona-Daytona Beach-Ormond Beach FL Metro,Palm Coast-Flagler County FL,94.4,106.7,79.2,94.5,98.4,96.0,100.7
12-22744-240,Florida,Fort Lauderdale-Pompano Beach-Deerfield Beach FL Metro Div.,Fort Lauderdale FL,114.8,105.2,145.6,96.3,111.3,98.6,101.5
12-23540-300,Florida,Gainesville FL Metro,Gainesville FL,96.7,101.9,92.1,98.8,102.3,100.1,95.2
12-27260-440,Florida,Jacksonville FL Metro,Jacksonville FL,98.9,102.7,90.0,109.5,101.1,86.4,102.4
12-33124-500,Florida,Miami-Miami Beach-Kendall FL Metro Div.,Miami-Dade County FL,112.2,108.8,128.7,96.9,112.6,104.3,105.0
12-35840-760,Florida,North Port-Sarasota-Bradenton FL Metro,Sarasota FL,103.2,103.5,105.1,103.3,101.0,109.8,101.2
12-36740-600,Florida,Orlando-Kissimmee-Sanford FL Metro,Orlando FL,98.9,104.8,95.8,97.6,101.1,94.6,99.3
12-37860-640,Florida,Pensacola-Ferry Pass-Brent FL Metro,Pensacola FL,94.0,109.0,75.8,84.1,96.2,95.8,105.5
12-39460-680,Florida,Punta Gorda FL Metro,Punta Gorda-Charlotte Co FL,93.8,98.1,79.2,100.3,98.7,105.4,99.1
12-42680-850,Florida,Sebastian-Vero Beach FL Metro,Vero Beach-Indian River FL,100.1,110.8,86.1,123.8,95.7,97.8,101.9
12-45300-840,Florida,Tampa-St. Petersburg-Clearwater FL Metro,Tampa FL,91.6,97.5,78.1,100.1,99.7,90.9,95.1
13-10500-070,Georgia,Albany GA Metro,Albany GA,90.5,105.0,74.2,93.0,95.3,98.6,94.6
13-12060-150,Georgia,Atlanta-Sandy Springs-Roswell GA Metro,Atlanta GA,100.4,104.8,98.6,92.7,104.3,102.2,100.8
13-12060-525,Georgia,Atlanta-Sandy Springs-Roswell GA Metro,Fayetteville-Fayette County GA,93.4,100.9,79.9,88.0,94.7,105.2,101.6
13-12060-740,Georgia,Atlanta-Sandy Springs-Roswell GA Metro,Marietta GA,94.1,101.3,87.5,90.6,91.3,101.1,98.1
13-12260-200,Georgia,Augusta-Richmond County GA-SC Metro,Augusta-Aiken GA-SC,88.8,96.9,73.7,89.5,85.8,94.4,98.7
13-17980-300,Georgia,Columbus GA-AL Metro,Columbus GA,90.0,102.3,76.7,65.3,87.9,112.1,102.1
13-19140-375,Georgia,Dalton GA Metro,Dalton GA,90.5,98.9,73.4,98.2,96.7,94.7,96.4
13-20140-500,Georgia,Dublin GA Micro,Dublin-Laurens County GA,90.2,96.6,77.5,101.1,90.5,85.4,95.6
13-42340-800,Georgia,Savannah GA Metro,Savannah GA,91.1,97.5,68.6,108.8,98.2,98.7,98.6
13-44340-820,Georgia,Statesboro GA Micro,Statesboro-Bulloch County GA,90.1,96.8,76.5,86.9,91.9,82.5,100.6
13-46660-850,Georgia,Valdosta GA Metro,Valdosta GA,93.2,106.2,82.6,100.4,97.0,96.8,92.4
15-25900-400,Hawaii,Hilo HI Micro,Hilo HI,151.2,157.6,149.7,246.2,134.9,113.4,130.5
15-46520-500,Hawaii,Urban Honolulu HI Metro,Honolulu HI,184.9,156.5,293.9,221.4,131.7,107.5,120.7
16-14260-200,Idaho,Boise City ID Metro,Boise ID,91.7,86.1,81.6,84.9,106.6,106.6,97.6
16-26820-400,Idaho,Idaho Falls ID Metro,Idaho Falls ID,83.6,94.6,59.3,82.4,102.1,104.2,90.7
16-46300-800,Idaho,Twin Falls ID Micro,Twin Falls ID,91.3,91.0,81.2,92.7,101.5,98.3,95.0
17-16580-200,Illinois,Champaign-Urbana IL Metro,Champaign-Urbana IL,96.7,97.2,88.0,115.2,93.1,109.0,97.9
17-16974-280,Illinois,Chicago-Naperville-Arlington Heights IL Metro Div.,Chicago IL,116.2,112.4,136.8,104.6,116.6,98.9,105.8
17-16974-520,Illinois,Chicago-Naperville-Arlington Heights IL Metro Div.,Joliet-Will County IL,100.5,101.2,102.9,100.5,106.6,106.0,95.0
17-19180-325,Illinois,Danville IL Metro,Danville IL,90.4,97.2,69.1,102.4,97.4,94.8,99.0
17-19500-370,Illinois,Decatur IL Metro,Decatur IL,89.5,90.8,79.9,96.4,95.6,90.6,92.5
17-28140-480,Illinois,Kankakee IL Metro,Kankakee IL,95.3,90.4,85.1,116.6,100.9,104.6,96.1
17-37900-700,Illinois,Peoria IL Metro,Peoria IL,98.9,95.8,101.6,101.0,101.8,93.7,96.9
17-39500-775,Illinois,Quincy IL-MO Micro,Quincy IL,93.8,99.4,98.5,86.5,91.2,98.8,89.7
17-40420-800,Illinois,Rockford IL Metro,Rockford IL,92.3,96.7,79.8,95.8,102.9,102.5,94.7
17-44100-870,Illinois,Springfield IL Metro,Springfield IL,89.1,100.3,76.8,74.6,98.2,103.3,94.1
18-14020-100,Indiana,Bloomington IN Metro,Bloomington IN,87.7,92.5,79.7,89.2,97.3,95.2,87.3
18-21780-340,Indiana,Evansville IN-KY Metro,Evansville IN,92.6,93.2,82.1,106.5,96.3,92.4,95.7
18-23060-400,Indiana,Fort Wayne IN Metro,Fort Wayne-Allen County IN,87.2,91.2,71.8,94.0,92.8,92.3,94.0
18-26900-550,Indiana,Indianapolis-Carmel-Anderson IN Metro,Indianapolis IN,91.5,93.8,82.4,92.0,93.1,98.3,96.8
18-26900-650,Indiana,Indianapolis-Carmel-Anderson IN Metro,Indianapolis-Morgan County IN,88.0,95.1,74.9,95.0,88.4,97.1,92.7
18-29200-720,Indiana,Lafayette-West Lafayette IN Metro,Lafayette IN,89.6,96.6,72.0,100.6,94.4,97.0,95.6
18-39980-840,Indiana,Richmond IN Micro,Richmond IN,82.3,90.3,73.2,81.8,91.7,82.2,83.4
18-43780-870,Indiana,South Bend-Mishawaka IN-MI Metro,South Bend IN,89.9,94.2,86.8,84.5,97.6,95.8,88.7
18-45460-920,Indiana,Terre Haute IN Metro,Terre Haute IN,97.6,96.0,87.9,97.3,91.6,109.4,107.5
19-11180-100,Iowa,Ames IA Metro,Ames IA,94.2,91.2,99.3,86.5,102.6,96.5,90.1
19-15460-177,Iowa,Burlington IA-IL Micro,Burlington IA,89.0,92.1,76.9,102.4,93.5,92.7,91.6
19-16300-200,Iowa,Cedar Rapids IA Metro,Cedar Rapids IA,94.5,93.9,85.5,107.3,95.5,101.4,97.2
19-19340-300,Iowa,Davenport-Moline-Rock Island IA-IL Metro,Davenport-Moline-Rock Is IA-IL,99.1,96.8,101.4,97.6,104.5,96.6,96.8
19-19780-330,Iowa,Des Moines-West Des Moines IA Metro,Des Moines IA,90.9,92.3,84.5,93.2,97.1,96.6,92.1
19-20220-360,Iowa,Dubuque IA Metro,Dubuque IA,92.7,97.3,69.6,115.6,96.5,95.5,101.7
19-32380-650,Iowa,Mason City IA Micro,Mason City IA,86.8,93.6,70.9,93.4,88.9,92.7,94.0
19-47940-900,Iowa,Waterloo-Cedar Falls IA Metro,Waterloo-Cedar Falls IA,92.9,93.3,93.0,80.2,102.4,100.0,92.0
20-19980-200,Kansas,Dodge City KS Micro,Dodge City KS,94.8,91.0,87.9,101.6,92.5,95.5,101.3
20-26740-400,Kansas,Hutchinson KS Micro,Hutchinson KS,90.4,90.5,80.2,92.8,93.7,102.8,95.6
20-31740-650,Kansas,Manhattan KS Metro,Manhattan KS,92.1,92.8,89.9,89.2,91.5,97.2,94.3
20-41460-750,Kansas,Salina KS Micro,Salina KS,87.4,93.3,75.2,101.1,96.2,101.5,85.6
20-45820-800,Kansas,Topeka KS Metro,Topeka KS,91.5,98.1,79.0,89.8,91.5,93.3,100.0
20-48620-900,Kansas,Wichita KS Metro,Wichita KS,93.1,93.9,73.8,114.5,95.6,97.8,101.1
21-14540-200,Kentucky,Bowling Green KY Metro,Bowling Green KY,90.5,93.4,79.7,106.5,93.2,93.7,92.2
21-17140-275,Kentucky,Cincinnati OH-KY-IN Metro,Covington KY,87.8,91.4,72.7,93.7,99.6,102.2,91.2
21-30460-600,Kentucky,Lexington-Fayette KY Metro,Lexington KY,90.9,94.9,76.1,83.3,95.8,94.4,102.2
21-31140-700,Kentucky,Louisville-Jefferson County KY-IN Metro,Louisville KY,92.3,92.2,80.4,89.6,103.5,89.6,99.7
21-37140-850,Kentucky,Paducah KY-IL Micro,Paducah KY,92.7,95.3,83.8,114.2,88.7,88.5,94.5
22-10780-100,Louisiana,Alexandria LA Metro,Alexandria LA,98.7,98.6,91.5,84.8,97.8,100.1,109.8
22-12940-200,Louisiana,Baton Rouge LA Metro,Baton Rouge LA,92.4,101.4,88.7,81.5,86.2,102.6,96.2
22-25220-350,Louisiana,Hammond LA Metro,Hammond LA,90.3,97.9,76.0,96.1,91.7,97.2,96.1
22-26380-365,Louisiana,Houma-Thibodaux LA Metro,Houma-Terrebonne Parish LA,95.5,95.8,101.9,86.9,92.5,86.9,94.9
22-26380-900,Louisiana,Houma-Thibodaux LA Metro,Thibodaux-Lafourche Parish LA,93.0,97.4,88.5,85.2,96.3,103.3,94.9
22-29180-400,Louisiana,Lafayette LA Metro,Lafayette LA,93.2,97.4,87.2,92.3,99.6,84.9,95.7
22-29340-450,Louisiana,Lake Charles LA Metro,Lake Charles LA,95.1,98.3,97.3,94.7,98.6,92.7,90.8
22-33740-500,Louisiana,Monroe LA Metro,Monroe LA,92.7,93.9,92.9,85.9,86.9,91.0,96.7
22-35380-600,Louisiana,New Orleans-Metairie LA Metro,New Orleans LA,95.5,100.5,97.9,85.7,93.7,98.2,94.7
22-35380-850,Louisiana,New Orleans-Metairie LA Metro,Slidell-St. Tammany Parish LA,97.1,97.8,93.0,103.4,97.6,94.2,98.5
22-43340-800,Louisiana,Shreveport-Bossier City LA Metro,Shreveport-Bossier City LA,89.3,94.9,84.6,83.5,90.1,87.5,92.9
23-38860-500,Maine,Portland-South Portland ME Metro,Portland ME,114.0,105.1,122.3,114.9,113.7,112.7,110.5
24-12580-100,Maryland,Baltimore-Columbia-Towson MD Metro,Baltimore MD,112.2,115.1,145.0,94.6,103.5,89.1,94.4
24-43524-250,Maryland,Silver Spring-Frederick-Rockville MD Metro Div.,Bethesda-Gaithersburg-Frederick MD,129.2,108.0,202.5,101.3,108.7,89.1,96.3
25-14460-200,Massachusetts,Boston MA Metro Div.,Boston MA,142.6,105.7,190.9,147.8,109.4,129.1,129.4
25-15764-530,Massachusetts,Cambridge-Newton-Framingham MA Metro Div.,Framingham-Natick MA,136.7,111.4,193.5,102.7,108.7,123.8,121.4
25-38340-700,Massachusetts,Pittsfield MA Metro,Pittsfield MA,111.0,112.3,133.0,95.9,113.0,100.2,96.8
25-49340-520,Massachusetts,Worcester MA-CT Metro,Fitchburg-Leominster MA,112.3,92.6,115.7,121.1,125.7,119.1,109.2
26-19804-400,Michigan,Detroit-Dearborn-Livonia MI Metro Div.,Detroit MI,95.6,90.1,91.3,103.7,104.4,96.3,95.8
26-24340-570,Michigan,Grand Rapids-Wyoming MI Metro,Grand Rapids MI,92.8,93.2,81.5,93.0,100.8,94.5,99.1
26-28020-650,Michigan,Kalamazoo-Portage MI Metro,Kalamazoo MI,85.8,83.3,68.0,101.7,99.6,96.0,90.6
26-35660-855,Michigan,Niles-Benton Harbor MI ,Benton Harbor MI,92.1,102.6,80.1,96.8,100.5,94.7,93.0
27-31860-500,Minnesota,Mankato-North Mankato MN Metro,Mankato MN,95.1,104.9,80.7,78.8,95.9,110.9,106.2
27-33460-511,Minnesota,Minneapolis-St. Paul-Bloomington MN-WI Metro,Minneapolis MN,108.0,106.5,113.2,92.6,108.4,105.1,109.4
27-33460-880,Minnesota,Minneapolis-St. Paul-Bloomington MN-WI Metro,St. Paul MN,107.1,104.7,111.1,91.2,108.7,105.0,109.4
27-41060-840,Minnesota,St. Cloud MN Metro,St. Cloud MN,96.1,111.7,77.6,91.9,95.8,113.9,104.4
28-25620-500,Mississippi,Hattiesburg MS Metro,Hattiesburg MS,84.1,98.2,69.7,88.2,88.4,89.8,86.9
28-27140-600,Mississippi,Jackson MS Metro,Jackson MS,84.6,88.7,75.2,81.9,84.3,90.0,91.2
28-46180-850,Mississippi,Tupelo MS Micro,Tupelo MS,85.6,90.4,70.1,80.6,93.9,95.0,94.3
29-17860-250,Missouri,Columbia MO Metro,Columbia MO,95.3,95.9,88.8,99.1,89.8,101.0,100.8
29-27620-450,Missouri,Jefferson City MO Metro,Jefferson City MO,91.6,95.1,78.1,99.6,91.2,99.1,98.5
29-27900-500,Missouri,Joplin MO Metro,Joplin MO,87.8,90.1,71.0,117.8,94.4,92.2,88.7
29-28140-600,Missouri,Kansas City MO-KS Metro,Kansas City MO-KS,95.3,92.0,92.0,92.0,95.8,96.7,100.4
29-41180-880,Missouri,St. Louis MO-IL Metro,St. Louis MO-IL,93.1,104.3,72.3,116.5,99.2,101.0,95.4
